1101162143775.txt	article	7/3/2004	A Special Asparagus Season	Ellie Olmsen
1101162433811.txt	forum	11/10/2004	none	none
1101162452451.txt	obituary	11/10/2004	none	none
1101162452967.txt	article	11/9/2004	Clown classes begin in Alderwood	Mel Sacher
1101162453655.txt	article	11/8/2004	Alderwood's Promise in need of reading volunteers	none
1101162454389.txt	article	11/8/2004	Pioneers end G'view's season	Bob Story
1101162468967.txt	article	11/5/2004	High school brings modern touch to Romeo and Juliet	Ellie Olmsen
1101162469467.txt	article	11/5/2004	Working Stiff	Mel Sacher
1101162469951.txt	article	11/5/2004	Mayor pro-tem suggests regaining control of library	John Panni
1101162470451.txt	article	11/5/2004	Story Time	Bob Story
1101162470951.txt	article	11/5/2004	Grizzlies end season with a loss	Bob Story
1101162488420.txt	article	11/3/2004	Washington voters approve new style of primary election	Ellie Olmsen
1101162488967.txt	article	11/2/2004	Working Stiff	John Panni
1101162490186.txt	article	11/1/2004	Selah blanks the Grizzlies	John Panni
1101162504873.txt	article	10/29/2004	Tragedy strikes	John Panni
1101162505451.txt	brief	10/29/2004	none	none
1101162506170.txt	forum	10/29/2004	none	none
1101162507155.txt	forum	10/27/2004	none	none
1101162522889.txt	editorial	10/27/2004	none	none
1101162523405.txt	obituary	10/27/2004	none	none
1101162524451.txt	article	10/25/2004	Nethercutt's wife stumps for votes in Alderwood	Mel Sacher
1101162539420.txt	brief	10/22/2004	none	none
1101162539889.txt	brief	10/22/2004	none	none
1101162540358.txt	article	10/22/2004	Spring Fling evolving into a 10-day festival	Ellie Olmsen
1101162541092.txt	article	10/21/2004	Plan in place to monitor spread of BSE in United States	John Panni
1101162589891.txt	article	10/9/2004	Russian delegation to visit Brazil and Chile	Jamie Smart
1101162605515.txt	editorial	10/20/2004	none	none
1101162605999.txt	article	10/19/2004	Montana graduate joins Lincoln Ave. Family Medicine	Jamie Smart
1101162606483.txt	article	10/19/2004	School problems focus of legislative dinner	Mel Sacher
1101162607218.txt	article	10/18/2004	Grizzlies maul the Wolves in Homecoming game	John Panni
1101162607702.txt	article	10/18/2004	Mabton grid team tethers Billy Goats	Bob Story
1101162622968.txt	editorial	10/15/2004	none	none
1101162623703.txt	editorial	10/13/2004	none	none
1101162624171.txt	brief	10/12/2004	none	none
1101162640781.txt	article	10/12/2004	Rough night for Grizzly JV	none
1101162641766.txt	brief	10/8/2004	none	none
1101162642891.txt	article	10/8/2004	Monson family will continue operating cattle feed mill	Bob Story
1101162686673.txt	article	10/7/2004	MOOvin' out	Bob Story
1101162687439.txt	forum	10/6/2004	none	none
1101162688110.txt	article	9/13/2004	Teens arrested after posting alleged trespass video on web	Ellie Olmsen
1101162688970.txt	brief	10/4/2004	none	none
1101162691111.txt	brief	10/1/2004	none	none
1101162707205.txt	article	10/1/2004	Lady 'Hounds race past Othello	Ellie Olmsen
1101162707799.txt	article	9/29/2004	REC to hold festive sunset meeting for 10 years of service	Ellie Olmsen
1101162708267.txt	article	9/29/2004	Grizzly grid game against West Valley at home Friday	none
1101162708736.txt	article	9/27/2004	Alderwood High School drop-out rates improving	Jamie Smart
1101162768659.txt	article	9/24/2004	School board dedicates new Alderwood parent center	Ellie Olmsen
1101162769191.txt	article	9/23/2004	Snipes Mountain Restaurant to host Nov. 2 dairy conference	none
1101162769956.txt	article	9/21/2004	Working Stiff	Mel Sacher
1101162770925.txt	article	9/20/2004	Lady 'Hounds beat Ellensburg, fall to Selah	Ellie Olmsen
1101162786926.txt	forum	9/17/2004	none	none
1101162787426.txt	article	9/15/2004	Ellensburg blanks Lady Grizzlies, 3-0	Bob Story
1101162787910.txt	article	9/14/2004	Stotz makes the shots to win Banana Belt title	Bob Story
1101162788910.txt	article	9/13/2004	'Hounds open CWAC play with 35-14 victory	Bob Story
1101162807895.txt	forum	9/8/2004	none	none
1101162809567.txt	article	9/7/2004	Wash. State Migrant Council teaching people how to drive	Ellie Olmsen
1101162862771.txt	article	9/3/2004	Future drivers urged to register to traffic safety class Tuesday, Sept. 7	none
1101162863490.txt	article	9/3/2004	State WASL achievement gaps narrow, local schools make significant gains	Jamie Smart
1101162863959.txt	article	9/2/2004	Spokane family first to participate in innovative conservation program	none
1101162879397.txt	article	9/1/2004	Networking, socializing enjoyed at first Chamber after hours event	Jamie Smart
1101162880756.txt	forum	9/1/2004	none	none
1101162881272.txt	brief	8/30/2004	none	none
1101162881756.txt	brief	8/27/2004	none	none
1101162902397.txt	article	8/27/2004	County commissioner stumps for votes	Mel Sacher
1101162902913.txt	article	8/27/2004	Alderwood School Board approves $50.1 million budget	Ellie Olmsen
1101162903381.txt	brief	8/26/2004	none	none
1101162904116.txt	article	8/25/2004	Alderwood ACT scores within national average	Jamie Smart
1101162906435.txt	article	7/13/2004	Shining Future leader Armando Catalano killed, boost for Rojas	Jamie Smart
1101162945882.txt	article	8/24/2004	Working Stiff	Mel Sacher
1101162948101.txt	article	8/20/2004	Zillah winery hosts Leonardo exhibit	Jamie Smart
1101162948851.txt	article	8/20/2004	Kiwanians draw inspiration from Iron Man competitors	Mel Sacher
1101162949366.txt	article	8/20/2004	Miss Alderwood candidate 2004	John Panni
1101162964241.txt	article	8/20/2004	Palacios returns from national motocross race	John Panni
1101162965023.txt	article	8/18/2004	Kindergarten parent orientation evenings set	none
1101162965507.txt	article	8/18/2004	Outlook troop doing its part to save Girl Scout Council	Mel Sacher
1101162966023.txt	calendar	8/17/2004	Community Calendar	none
1101162966523.txt	article	8/16/2004	Curriculum developed detailing how Americans were forced from their homes and locked away in concentration camps	Ellie Olmsen
1101162981695.txt	article	8/13/2004	Schuette new principal of Stanwood High School	John Panni
1101162982195.txt	article	8/13/2004	U.S. Senate candidate visits Alderwood, a big believer in regulatory reform	Ellie Olmsen
1101162982898.txt	article	8/11/2004	Rotary leader praises Alderwood Noon Club's charity work	Jamie Smart
1101163001554.txt	article	8/9/2004	Granger woman claims giant soup ladle in menudo contest	Jamie Smart
1101163002039.txt	article	8/6/2004	Annual Prosser Wine and Food Fair offers new attractions	none
1101163002539.txt	article	8/6/2004	Update given on new middle school, concession stand	none
1101163004554.txt	article	8/5/2004	Sky high birthday wishes extended to 21-year-old Alderwood woman	Mel Sacher
1101163044539.txt	obituary	7/21/2004	none	none
1101163061865.txt	article	7/19/2004	Busy Summer for Local Orchards	Ellie Olmsen
1101163072805.txt	obituary	7/19/2004	none	none
1101163128915.txt	forum	7/7/2004	none	none
1101163144775.txt	article	7/5/2004	spirit of Alderwood	Bob Story
1101163156775.txt	article	7/2/2004	Uruguayan president meets China's trade delegation	Ellie Olmsen
1101163162978.txt	obituary	6/28/2004	none	none
1101163179932.txt	obituary	6/24/2004	none	none
1101163197619.txt	article	6/21/2004	State's test scores show schools making headway	Mel Sacher
1101163233666.txt	article	6/7/2004	Grads bid farewell to Alderwood High School	Mel Sacher
1101163235119.txt	article	6/4/2004	Alderwood High class of 2004 comes together for baccalaureate	Ellie Olmsen
1101163252385.txt	article	6/3/2004	Nearly 60 years later, World War II vet will get his high school diploma	Jamie Smart
1101163253588.txt	article	6/2/2004	Spring athletes honored at awards ceremony	Mel Sacher
1101163287775.txt	article	5/26/2004	High school graduation exercises begin June 4	Jamie Smart
1101163288338.txt	agenda	5/24/2004	Alderwood School Board Agenda	none
1101163307182.txt	article	5/17/2004	Grizzlies capture first-ever Regional	John Panni
1101163308494.txt	article	5/13/2004	AHS names top grads	none
1101163324807.txt	obituary	5/11/2004	none	none
1101163340400.txt	obituary	5/10/2004	none	none
1101163342119.txt	article	5/4/2004	Pathway seeks volunteers	none
1101163356500.txt	article	4/16/2004	FDA starts investigation of Boynton	John Panni
1101163375354.txt	article	4/23/2004	Parents rally to save child care center	Melissa Browning
1101163376276.txt	article	4/23/2004	Parazuelan pastor dies watching 'Passion of Christ'	Ellie Olmsen
1101163390822.txt	obituary	4/21/2004	none	none
1101163443760.txt	article	4/1/2004	AHS principal talks about course changes	John Panni
1101163444463.txt	obituary	3/31/2004	none	none
1101163456898.txt	article	5/2/2004	Yakima Valley set for Cinco de Mayo fiestas	Dorrie O'Day
1101163461838.txt	article	3/26/2004	School board reverses itself, awards bid to Denchel Ford	John Panni
1101163477635.txt	obituary	3/25/2004	none	none
1101163498744.txt	article	3/19/2004	State education legislation gets mixed reviews	Melissa Browning
1101163520244.txt	article	3/15/2004	Community leaders honored at annual Alderwood banquet	Jamie Smart
1101163520510.txt	article	3/15/2004	Two 4A teams beat Alderwood girls	Bob Story
1101163572132.txt	article	3/5/2004	Port Incident	Ellie Olmsen
1101163575072.txt	forum	3/5/2004	none	none
1101163595600.txt	article	3/2/2004	Alderwood Lab breakthrough in mad cow disease	John Panni
1101163613791.txt	article	2/27/2004	Alderwood school superintendent puts vehicle bids on hold	none
1101163706824.txt	obituary	2/9/2004	none	none
1101163726024.txt	article	2/2/2004	Firm selected to install machines	Mel Sacher
1101163793559.txt	article	1/28/2004	Where's the beef...from?	none
1101163834618.txt	article	June 10, 2004	Groves Annex Chemical Agent Spill Contained; Worker hospitalized	Jamie Smart
1101163852029.txt	forum	1/16/2004	none	none
1101163853185.txt	article	1/15/2004	City Council enters into agreement for animal control services	none
1101163887201.txt	article	1/12/2004	Lower Valley legislators begin work anew today	Bob Story
1101163889404.txt	article	1/7/2004	Everson girl spends holiday shadowing Alderwood ER nurses	Jamie Smart
1101163932216.txt	article	9/14/2004	Teens insist unusual activity motivated break in at silo	Ellie Olmsen
1101163941115.txt	lucky numbers	01/01/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941116.txt	lucky numbers	01/08/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941118.txt	lucky numbers	01/22/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941120.txt	lucky numbers	02/05/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941122.txt	lucky numbers	02/19/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941124.txt	lucky numbers	03/05/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941126.txt	lucky numbers	03/19/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941128.txt	lucky numbers	04/02/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941130.txt	lucky numbers	04/16/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941133.txt	lucky numbers	05/07/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941134.txt	lucky numbers	05/14/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941136.txt	lucky numbers	05/28/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941138.txt	lucky numbers	06/11/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941140.txt	lucky numbers	06/25/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941142.txt	lucky numbers	07/09/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941144.txt	lucky numbers	07/23/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941146.txt	lucky numbers	08/06/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941148.txt	lucky numbers	08/20/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941150.txt	lucky numbers	09/03/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941152.txt	lucky numbers	09/17/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941154.txt	lucky numbers	10/01/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941156.txt	lucky numbers	10/15/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941158.txt	lucky numbers	10/29/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941160.txt	lucky numbers	11/12/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941162.txt	lucky numbers	11/26/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941164.txt	lucky numbers	12/10/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163941166.txt	lucky numbers	12/24/2004	Alderwood Weekly Lucky Numbers	Albert Smith
1101163975356.txt	article	3/22/2004	South America Roundup:  Olimpia's Orteman scores from inside his own half	Ellie Olmsen
1101163977242.txt	article	6/19/2004	FDA cancels investigation	Mel Sacher
1101164682719.txt	article	5/6/2004	E. coli cases suspected	Jamie Smart
1101234275352.txt	article	2/12/2004	IMF loan hopes boost Argentina	Jamie Smart
1101241536631.txt	article	8/24/2004	Indigenous People From Western Colombia Displaced	Jamie Smart
1101242384726.txt	article	11/19/2004	Food Fore Thought	none
1101242385523.txt	article	11/17/2004	Earlier report of cuts to Alderwood Police Department much rosier now	John Panni
1101242386320.txt	article	11/16/2004	City Council's 2005 budget relatively unchanged	John Panni
1101242406226.txt	article	11/12/2004	Fire captains air concerns with 2005 budget cuts	John Panni
1101242406742.txt	article	11/11/2004	2005 will bring many changes for Alderwood's parks department	John Panni
1101242407492.txt	article	11/10/2004	City council learns some are against privatizing public works	John Panni
1101242407976.txt	article	11/10/2004	Beyond The Norm-Mel	Mel Sacher
1101242429898.txt	article	11/8/2004	Lady 'Hounds remain undefeated as they head into State tournament	Ellie Olmsen
1101242430883.txt	article	11/5/2004	Interlocal agreement yet to be formalized	John Panni
1101242451711.txt	article	11/4/2004	Commissioner needed	none
1101242452461.txt	article	11/3/2004	Kerry concedes Presidential race Tuesday morning	John Panni
1101242453320.txt	article	11/3/2004	Murray retains U.S. Senate seat	John Panni
1101242456221.txt	article	1/16/2004	Intoxicated Driver Makes Unexpected Deposit at Alderwood National Bank	Ellie Olmsen
1101242473945.txt	article	11/1/2004	Alderwood police sergeant dies on elk hunting trip	Mel Sacher
1101242496946.txt	obituary	10/27/2004	none	none
1101242497446.txt	article	10/26/2004	Consent items receive approval	none
1101242518040.txt	article	10/22/2004	Lady 'Hounds getting close to another perfect season	Ellie Olmsen
1101242518821.txt	article	10/20/2004	Casino/restaurant opening planned	Bob Story
1101242519290.txt	article	10/20/2004	Beyond The Norm Mel	Mel Sacher
1101242535666.txt	article	9/17/2004	Gov. Gary Locke Declares Parazuela/Argentina Trade Mission Huge Success; Millions in Projected Sales Reported for Washington Businesses, Farmers	Jamie Smart
1101242542555.txt	article	10/15/2004	Choose right side	none
1101242543258.txt	article	10/15/2004	Tacitly Yours	Ellie Olmsen
1101242563493.txt	article	10/12/2004	Kepcha hopes to unseat Newhouse	Bob Story
1101242565571.txt	article	10/5/2004	Still time to register to vote in General Election	none
1101242586149.txt	obituary	9/30/2004	none	none
1101242587149.txt	article	9/27/2004	Lady 'Hounds third at 4A tourney	Ellie Olmsen
1101242612790.txt	article	9/24/2004	UFW leader Dolores Huerta to speak in Alderwood tonight	none
1101242613821.txt	article	9/23/2004	Benedicto dominates Sunshine Days tennis tournament	none
1101242614337.txt	article	9/22/2004	Alderwood Inc. director Marshall Doak to leave post	Jamie Smart
1101242614806.txt	article	9/22/2004	G'view sweeps Ki-Be Bears	Ellie Olmsen
1101242634728.txt	article	9/20/2004	'Doc' pushes GOP platform	Ellie Olmsen
1101242635978.txt	article	9/17/2004	U.S. Senate candidate stumps for votes in Alderwood	Mel Sacher
1101242636712.txt	brief	9/16/2004	none	none
1101242656634.txt	article	9/15/2004	Few problems on election day	Jamie Smart
1101242657134.txt	brief	9/14/2004	none	none
1101242657853.txt	article	9/10/2004	Local Republicans hear from three judicial candidates	Ellie Olmsen
1101242678228.txt	article	9/9/2004	Alderwood Planning Commission OK's annexation	Mel Sacher
1101242678947.txt	editorial	9/8/2004	none	none
1101242700338.txt	editorial	9/1/2004	none	none
1101242721291.txt	article	8/27/2004	Religious Reflections	none
1101242722744.txt	article	8/25/2004	Story Time	Bob Story
1101242743650.txt	article	8/24/2004	Council ponders ways to fund ambulance service	John Panni
1101242745182.txt	article	8/17/2004	Martinez newest Alderwood councilman	Jamie Smart
1101242765510.txt	forum	8/11/2004	none	none
1101242766213.txt	article	8/10/2004	New voting machines previewed at City Council meeting	John Panni
1101242766682.txt	obituary	8/10/2004	none	none
1101242786744.txt	article	8/5/2004	Candidate withdraws from city council consideration	Ellie Olmsen
1101242787244.txt	obituary	8/5/2004	none	none
1101242808401.txt	brief	7/28/2004	none	none
1101242809166.txt	brief	7/27/2004	none	none
1101242809916.txt	article	7/26/2004	Seven seek de la Cruz's vacated city council seat	none
1101242810619.txt	article	7/22/2004	Alderwood Civil Service Commission amends lay-off rules for fire department	Mel Sacher
1101242876245.txt	article	7/6/2004	City gets ready to start search for new council member	Ellie Olmsen
1101242898417.txt	article	6/29/2004	Golob competes for State Dairy crown	none
1101242963292.txt	obituary	6/9/2004	none	none
1101243052340.txt	obituary	4/29/2004	none	none
1101243074777.txt	obituary	4/20/2004	none	none
1101243160012.txt	obituary	3/29/2004	none	none
1101243182966.txt	obituary	3/18/2004	none	none
1101243183934.txt	article	3/15/2004	Annexation vote means more reading materials, local services for patrons of Alderwood library	Jamie Smart
1101243226622.txt	article	3/5/2004	Hart Beat	Jamie Smart
1101243250482.txt	article	2/18/2004	Voters being asked to maintain Alderwood's quality of life	Ellie Olmsen
1101243272357.txt	brief	2/13/2004	none	none
1101243294357.txt	article	2/10/2004	Local dentist honored for work with low-income children	Melissa Browning
1101243315873.txt	article	2/6/2004	Hart Beat	Jamie Smart
1101243381717.txt	article	1/23/2004	Port adopts aggressive two-year plan	Jamie Smart
1101243402764.txt	article	1/21/2004	Kirchner, Herndon plan afternoon nuptial ceremony Feb. 28	none
1101243424483.txt	article	1/16/2004	Alderwood Police Department support staff gets new contract	John Panni
1101243446514.txt	obituary	1/12/2004	none	none
1201243446501.txt	factsheet	none	Adamsite FactSheet	none
1201243446502.txt	factsheet	none	Arsenic FactSheet (Inorganic)	none
1201243446503.txt	factsheet	none	Botulism FactSheet	none
1201243446504.txt	factsheet	none	Escherichia coli FactSheet	none
1201243446505.txt	factsheet	none	Lewisite FactSheet	none
1201243446506.txt	factsheet	none	Ricin FactSheet	none
1201243446507.txt	factsheet	none	salmonellosis FactSheet	none
1201243446508.txt	factsheet	none	Sulfur Mustard FactSheet	none
1201243446611.txt	factsheet	7/14/2004	FactSheet: Overview of South American Terrorist Organizations	none
1201243446612.txt	article	1/14/2004	Missile Silo Story	none
1201243446613.txt	map	none	Map of Alderwood	none
1201243446614.txt	ad	8/28/2004	none	none
1201243446615.txt	factsheet	11/14/2004	Stegosaurus Apple Exports Chart	none
